index,credit_rating
0,Хороший
1,Хороший
2,Хороший
3,Хороший
4,Хороший
5,Хороший
6,Хороший
7,Хороший
8,Обычный
9,Обычный
10,Обычный
11,Обычный
12,Обычный
13,Обычный
14,Обычный
15,Обычный
16,Хороший
17,Хороший
18,Хороший
19,Обычный
20,Хороший
21,Обычный
22,Обычный
23,Хороший
24,Хороший
25,Обычный
26,Обычный
27,Обычный
28,Обычный
29,Обычный
30,Обычный
31,Обычный
32,Обычный
33,Хороший
34,Хороший
35,Обычный
36,Хороший
37,Обычный
38,Хороший
39,Хороший
40,Обычный
41,Обычный
42,Обычный
43,Обычный
44,Обычный
45,Обычный
46,Обычный
47,Обычный
48,Обычный
49,Обычный
50,Обычный
51,Обычный
52,Хороший
53,Обычный
54,Обычный
55,Обычный
56,Обычный
57,Обычный
58,Обычный
59,Обычный
60,Обычный
61,Обычный
62,Обычный
63,Обычный
64,Обычный
65,Обычный
66,Плохой
67,Обычный
68,Плохой
69,Плохой
70,Хороший
71,Плохой
72,Плохой
73,Плохой
74,Плохой
75,Плохой
76,Плохой
77,Плохой
78,Плохой
79,Плохой
80,Хороший
81,Обычный
82,Обычный
83,Хороший
84,Хороший
85,Хороший
86,Обычный
87,Обычный
88,Обычный
89,Обычный
90,Плохой
91,Плохой
92,Обычный
93,Обычный
94,Обычный
95,Плохой
96,Обычный
97,Обычный
98,Обычный
99,Обычный
100,Обычный
101,Обычный
102,Обычный
103,Обычный
104,Обычный
105,Обычный
106,Обычный
107,Обычный
108,Обычный
109,Обычный
110,Обычный
111,Обычный
112,Хороший
113,Хороший
114,Хороший
115,Обычный
116,Хороший
117,Обычный
118,Хороший
119,Хороший
120,Плохой
121,Плохой
122,Плохой
123,Плохой
124,Плохой
125,Плохой
126,Плохой
127,Плохой
128,Обычный
129,Обычный
130,Плохой
131,Обычный
132,Обычный
133,Обычный
134,Плохой
135,Обычный
136,Обычный
137,Обычный
138,Обычный
139,Обычный
140,Обычный
141,Обычный
142,Обычный
143,Обычный
144,Обычный
145,Плохой
146,Плохой
147,Плохой
148,Плохой
149,Обычный
150,Плохой
151,Плохой
152,Плохой
153,Плохой
154,Плохой
155,Плохой
156,Плохой
157,Плохой
158,Плохой
159,Плохой
160,Обычный
161,Обычный
162,Обычный
163,Обычный
164,Обычный
165,Обычный
166,Обычный
167,Обычный
168,Обычный
169,Обычный
170,Обычный
171,Обычный
172,Обычный
173,Обычный
174,Обычный
175,Обычный
176,Плохой
177,Плохой
178,Плохой
179,Плохой
180,Плохой
181,Плохой
182,Плохой
183,Плохой
184,Плохой
185,Плохой
186,Плохой
187,Плохой
188,Плохой
189,Обычный
190,Плохой
191,Плохой
192,Обычный
193,Обычный
194,Обычный
195,Обычный
196,Обычный
197,Обычный
198,Обычный
199,Обычный
200,Обычный
201,Обычный
202,Обычный
203,Обычный
204,Хороший
205,Обычный
206,Обычный
207,Обычный
208,Обычный
209,Обычный
210,Обычный
211,Обычный
212,Обычный
213,Обычный
214,Обычный
215,Обычный
216,Обычный
217,Обычный
218,Обычный
219,Обычный
220,Обычный
221,Обычный
222,Обычный
223,Обычный
224,Плохой
225,Плохой
226,Плохой
227,Плохой
228,Плохой
229,Плохой
230,Плохой
231,Плохой
232,Плохой
233,Плохой
234,Плохой
235,Плохой
236,Плохой
237,Плохой
238,Плохой
239,Плохой
240,Обычный
241,Обычный
242,Обычный
243,Хороший
244,Обычный
245,Обычный
246,Обычный
247,Обычный
248,Обычный
249,Обычный
250,Обычный
251,Обычный
252,Обычный
253,Обычный
254,Обычный
255,Обычный
256,Обычный
257,Обычный
258,Обычный
259,Обычный
260,Обычный
261,Хороший
262,Хороший
263,Хороший
264,Обычный
265,Обычный
266,Обычный
267,Обычный
268,Обычный
269,Обычный
270,Обычный
271,Обычный
272,Обычный
273,Плохой
274,Обычный
275,Плохой
276,Плохой
277,Плохой
278,Обычный
279,Обычный
280,Обычный
281,Обычный
282,Обычный
283,Хороший
284,Обычный
285,Обычный
286,Обычный
287,Обычный
288,Обычный
289,Обычный
290,Обычный
291,Обычный
292,Обычный
293,Обычный
294,Обычный
295,Обычный
296,Плохой
297,Плохой
298,Плохой
299,Обычный
300,Плохой
301,Плохой
302,Плохой
303,Плохой
304,Хороший
305,Хороший
306,Обычный
307,Обычный
308,Хороший
309,Хороший
310,Обычный
311,Хороший
312,Хороший
313,Обычный
314,Обычный
315,Обычный
316,Обычный
317,Хороший
318,Обычный
319,Обычный
320,Хороший
321,Хороший
322,Хороший
323,Обычный
324,Хороший
325,Хороший
326,Хороший
327,Хороший
328,Хороший
329,Хороший
330,Хороший
331,Хороший
332,Хороший
333,Хороший
334,Хороший
335,Хороший
336,Обычный
337,Обычный
338,Хороший
339,Обычный
340,Обычный
341,Хороший
342,Обычный
343,Хороший
344,Обычный
345,Обычный
346,Обычный
347,Обычный
348,Обычный
349,Обычный
350,Обычный
351,Обычный
352,Обычный
353,Обычный
354,Хороший
355,Обычный
356,Хороший
357,Хороший
358,Обычный
359,Обычный
360,Обычный
361,Плохой
362,Обычный
363,Обычный
364,Обычный
365,Плохой
366,Обычный
367,Обычный
368,Обычный
369,Обычный
370,Обычный
371,Обычный
372,Обычный
373,Обычный
374,Обычный
375,Обычный
376,Плохой
377,Плохой
378,Плохой
379,Плохой
380,Плохой
381,Плохой
382,Плохой
383,Плохой
384,Обычный
385,Обычный
386,Обычный
387,Обычный
388,Хороший
389,Обычный
390,Обычный
391,Обычный
392,Обычный
393,Обычный
394,Обычный
395,Плохой
396,Обычный
397,Обычный
398,Обычный
399,Обычный
400,Обычный
401,Обычный
402,Обычный
403,Обычный
404,Обычный
405,Обычный
406,Обычный
407,Обычный
408,Обычный
409,Обычный
410,Обычный
411,Обычный
412,Обычный
413,Обычный
414,Обычный
415,Обычный
416,Обычный
417,Обычный
418,Обычный
419,Обычный
420,Обычный
421,Обычный
422,Обычный
423,Обычный
424,Обычный
425,Плохой
426,Обычный
427,Обычный
428,Плохой
429,Плохой
430,Плохой
431,Плохой
432,Плохой
433,Плохой
434,Плохой
435,Плохой
436,Плохой
437,Плохой
438,Плохой
439,Плохой
440,Обычный
441,Плохой
442,Плохой
443,Плохой
444,Хороший
445,Плохой
446,Обычный
447,Плохой
448,Обычный
449,Обычный
450,Обычный
451,Обычный
452,Обычный
453,Обычный
454,Обычный
455,Обычный
456,Обычный
457,Обычный
458,Обычный
459,Обычный
460,Обычный
461,Обычный
462,Обычный
463,Обычный
464,Обычный
465,Обычный
466,Обычный
467,Обычный
